type|category|name|MP_degC|BP_degC|MW_gmol|pct_weight_plastics|example_plastics|consumption_Mtyr|refs
Primary Antioxidants|Hindered Phenols|Igranox 1010|110-125|1005|Low-high|0.05-1|PE;PP;PS;ABS|0.15|Bolgar et al., 2008;ChemBK;Hahladakiset al., 2018;Pelzl etal, 2019;Pritchard,1998;Pritchard,2005;Shahidi et al,1992;Songwon,2017;Stepek, 1983)
Primary Antioxidants|Secondary aromatic amines|4,4’-bis(alpha,alpha-dimethylbenzyl) diphenylamine|99-103|535|Low-high|0.05-1|PE;PP;PS;ABS|0.15|BASF, 2004;Bolgaretal, 2008;Brydson, 1999;chemical 800k;Crompton, 2007;Pela etal, 2019;Polymer Database,2015;Pritchard,2005;Wyeych,2015)
Secondary Antioxidants|Phosphite type thioethers, organosulfur compounds|Igrafos 1678|181-184|361|Medium-high|0.05-1|PE;PP;PS;ABS|0.15|BASF, 2004;Bolgaretal, 2008;Brydson, 1999;chemical 800k;Crompton, 2007;Pela etal, 2019;Polymer Database,2015;Pritchard,2005;Wyeych,2015)
Stabilizers|Benzophenones;hindered amines;benzotriazole;salicylate esters;cyanoacrylates;benzylidenes|2,4-dihydroxybenzophenone|144-147|395-423|Low-high|0.1-10|PVC;PE;PA|0.75|BASF, 2004;Bolgar et al., 2008;Brydson, 1999;Chemical Book;Crompton, 2007;Pela etal, 2019;Polymer Database,2015;Pritchard,2005;Wyeych,2015
Stabilizers|Benzophenones;hindered amines;benzotriazole;salicylate esters;cyanoacrylates;benzylidenes|Bis(2,2,6,6-tetramethyl-4-piperidyl-1-oxyl) Sebacate|82-85|503-603|Low-high|0.1-10|PVC;PE;PA|0.75|BASF, 2004;Bolgaretal, 2008;Brydson, 1999;chemical 800k;Crompton, 2007;Pela etal, 2019;Polymer Database,2015;Pritchard,2005;Wyeych,2015
Stabilizers|Benzophenones;hindered amines;benzotriazole;salicylate esters;cyanoacrylates;benzylidenes|Methyl 3-(3-tert-butly-5-(2H-benzotriazol-2-YL)-4-hydroxynphenyl)propionate|60-67|440-560|Low-high|0.1-10|PVC;PE;PA|0.75|BASF, 2004;Bolgaretal, 2008;Brydson, 1999;chemical 800k;Crompton, 2007;Pela etal, 2019;Polymer Database,2015;Pritchard,2005;Wyeych,2015
Stabilizers|Benzophenones;hindered amines;benzotriazole;salicylate esters;cyanoacrylates;benzylidenes|Methyl salicylate|minus9|220-224|Low-high|0.1-10|PVC;PE;PA|0.75|BASF, 2004;Bolgaretal, 2008;Brydson, 1999;chemical 800k;Crompton, 2007;Pela etal, 2019;Polymer Database,2015;Pritchard,2005;Wyeych,2015
Stabilizers|Benzophenones;hindered amines;benzotriazole;salicylate esters;cyanoacrylates;benzylidenes|ethyl-2-cyano-3,3-diphenylacrylate|96|174|Low-high|0.1-10|PVC;PE;PA|0.75|BASF, 2004;Bolgaretal, 2008;Brydson, 1999;chemical 800k;Crompton, 2007;Pela etal, 2019;Polymer Database,2015;Pritchard,2005;Wyeych,2015
Stabilizers|Benzophenones;hindered amines;benzotriazole;salicylate esters;cyanoacrylates;benzylidenes|Tetraethyl 2,2’-(1,4-phenylenedimethylylidene)dimalonate|137|439-529|Low-high|0.1-10|PVC;PE;PA|0.75|BASF, 2004;Bolgaretal, 2008;Brydson, 1999;chemical 800k;Crompton, 2007;Pela etal, 2019;Polymer Database,2015;Pritchard,2005;Wyeych,2015
Plasticizers|esters of aliphatic carboxylic acids;esters of aromatic carboxylic acids;phosphate esters|dioctyl phtalate|minus50|384|Medium-high|20-50|PVC|5.7|Bolgar et al., 2008;Daihachi ChemicalIndustry;Deanin,1975;Pritchard,2005;Wypych,2004
Plasticizers|esters of aliphatic carboxylic acids;esters of aromatic carboxylic acids;phosphate esters|dioctyl adipate|minus68|214|Medium-high|20-50|PVC|5.7|Bolgar et al., 2008;Daihachi ChemicalIndustry;Deanin,1975;Pritchard,2005;Wypych,2004
Plasticizers|esters of aliphatic carboxylic acids;esters of aromatic carboxylic acids;phosphate esters|tricresyl phosphate|minus25-minus30|410|Medium-high|20-50|PVC|5.7|Bolgar et al., 2008;Daihachi ChemicalIndustry;Deanin,1975;Pritchard,2005;Wypych,2004
Flame retardants|organophosphates;halogenated compounds;certain inorganic hydrates/hydroxides/borates|decabromodiphenyl ether|295|425|Low-high|10-20|PS;PE;PP|1.67|Beard and Angeler,2010;Bolgar et al.,2008;ICL -INDUSTRIALPRODUCTS;Innesand Innes, 2004;Morgan, 2018;Pritchard, 2005
Flame retardants|organophosphates;halogenated compounds;certain inorganic hydrates/hydroxides/borates|tris(2-chloroethyl) phosphate|minus51|330|Low-high|10-20|PS;PE;PP|1.67|Beard and Angeler,2010;Bolgar et al.,2008;ICL -INDUSTRIALPRODUCTS;Innesand Innes, 2004;Morgan, 2018;Pritchard, 2005)
Flame retardants|organophosphates;halogenated compounds;certain inorganic hydrates/hydroxides/borates|melamine|345|525-591|Low-high|10-20|PS;PE;PP|1.67|Beard and Angeler,2010;Bolgar et al.,2008;ICL -INDUSTRIALPRODUCTS;Innesand Innes, 2004;Morgan, 2018;Pritchard, 2005
Flame retardants|organophosphates;halogenated compounds;certain inorganic hydrates/hydroxides/borates|antimony trioxide|656|1425|Low-high|10-20|PS;PE;PP|1.67|Beard and Angeler,2010;Bolgar et al.,2008;ICL -INDUSTRIALPRODUCTS;Innesand Innes, 2004;Morgan, 2018;Pritchard, 2005
Flame retardants|organophosphates;halogenated compounds;certain inorganic hydrates/hydroxides/borates|alumina trihydrate|NaN|NaN|Low-high|10-20|PS;PE;PP|1.67|Beard and Angeler,2010;Bolgar et al.,2008;ICL -INDUSTRIALPRODUCTS;Innesand Innes, 2004;Morgan, 2018;Pritchard, 2005
